charform,frequency,perMILL,zipf,CD_N,CD_percent,CD_log
估,2987,63.98951283222170,4.806108803791790,1592,0.3076328502415460,3.20194306340165
抗,4191,89.78240652154040,4.95319124202151,1632,0.3153623188405800,3.2127201544178400
列,6447,138.11194818524700,5.140231251398770,2551,0.49294685990338200,3.40671045860979
猝,83,1.7780815417055200,3.2499516735637400,54,0.010434782608695700,1.7323937598229700
防,2616,56.041702567489800,4.748511320839900,1222,0.2361352657004830,3.0870712059065400
穷,1776,38.04666045866280,4.580316542630250,958,0.1851207729468600,2.9813655090785400
尽,6205,132.92766224437100,5.123615367022410,2971,0.5741062801932370,3.472902651803660
课,8502,182.13553334434200,5.260394681818770,2394,0.46260869565217400,3.379124146070390
晰,1766,37.83243376689100,4.577864280429220,1130,0.21835748792270500,3.0530784434834200
谁,16049,343.8124176244810,5.536321558239340,4072,0.7868599033816430,3.6098077693287000
糟,2069,44.323502527575000,4.6466340718534,1302,0.2515942028985510,3.114610984232170
哭,4041,86.5690061449641,4.937362431630310,1386,0.2678260869565220,3.141763230275790
抹,734,15.72423917604640,4.196569641103740,471,0.0910144927536232,2.673020907128900
脸,5505,117.9317938203480,5.071630904495440,2221,0.42917874396135300,3.346548558548470
名,25829,553.3261221772530,5.742981173466720,4613,0.8914009661835750,3.6639834546082700
尝,5030,107.75602596119000,5.032441566243590,2228,0.4305314009661840,3.3479151865016900
抱,4149,88.88265441609900,4.948817016016640,2106,0.40695652173913000,3.3234583668494700
搞,10413,223.07425414192300,5.34844944957874,3371,0.6514009661835750,3.5277587525209700
团,9737,208.59252977815300,5.319298751193970,2749,0.5312077294685990,3.4391747398434700
秒,1821,39.010680571635600,4.591183526982590,1017,0.19652173913043500,3.0073209529227400
耐,1494,32.00546775069940,4.505224178667050,882,0.17043478260869600,2.94546858513182
烦,3681,78.85684524118110,4.896839398634330,1873,0.36193236714975800,3.2725377773752400
宵,396,8.483376994161300,3.9285687671131800,216,0.04173913043478260,2.3344537511509300
极,10699,229.20113752659500,5.360216768706770,3522,0.6805797101449280,3.5467893516312600
抢,2107,45.137563956307700,4.654538116795770,1084,0.20946859903381600,3.0350292822023700
俩,11056,236.84903042284700,5.374471611217790,2943,0.568695652173913,3.468790262099610
嘈,74,1.585277519110950,3.2001053009186400,64,0.012367149758454100,1.806179973983890
火,11317,242.44034707808900,5.384604897075270,3215,0.621256038647343,3.5071809772602400
燎,15,0.3213400376576250,2.506964840243350,12,0.002318840579710150,1.0791812460476200
冒,2653,56.83434132704520,4.754610831170000,1405,0.2714975845410630,3.1476763242411000
丈,1676,35.90439354094530,4.555147595481920,649,0.12541062801932400,2.812244696800370
砖,510,10.925561280359200,4.038443757285600,295,0.057004830917874400,2.469822015978160
厚,1671,35.7972801950594,4.553850031081060,1041,0.20115942028985500,3.017450729510540
烂,2058,44.08785316662610,4.644318951614080,1129,0.21816425120772900,3.052693941924970
额,2204,47.21556286649370,4.6740851713674100,1163,0.2247342995169080,3.0655797147284500
呈,3415,73.15841524005260,4.864264289205220,1606,0.31033816425120800,3.205745540942660
胳,282,6.041192707963350,3.7811226895070300,198,0.03826086956521740,2.296665190261530
膊,282,6.041192707963350,3.7811226895070300,198,0.03826086956521740,2.296665190261530
巴,7328,156.9853197303380,5.195859041847460,2145,0.4144927536231880,3.331427296520740
掌,3195,68.44542802107410,4.835344443682080,1727,0.333719806763285,3.237292337567460
掐,350,7.497934212011250,3.874941625537940,228,0.044057971014492800,2.357934847000450
普,10776,230.85068305323800,5.363331163902600,3485,0.6734299516908210,3.5422027824340300
遮,490,10.497107896815700,4.021069661216180,338,0.06531400966183580,2.5289167002776500
掩,430,9.211747746185240,3.9643420367672500,340,0.06570048309178740,2.531478917042260
惶,117,2.5064522937294700,3.3990594429338300,84,0.016231884057971000,1.9242792860618800
恐,4832,103.51433746411000,5.015000506800740,1797,0.3472463768115940,3.2545480771089700
骂,3922,84.01970851288030,4.924381170519430,1481,0.2861835748792270,3.1705550585212100
劲,2762,59.16941226735730,4.772097255430280,1597,0.3085990338164250,3.203304916138480
卡,7119,152.5079818723090,5.183292574124670,2242,0.4332367149758450,3.3506356082589500
