transcript_id,token_num,type_num,charactor_token_num,charactor_type_num,logTTR,duration,Wpm
transcript_4504,5683,1250,8469,922,0.8248357862627096,1798.8700000000003,282.4773329923785
transcript_2175,6523,1062,9573,809,0.7933323536678617,1798.1699999999998,319.4247484943026
transcript_2613,6135,1055,9343,807,0.798152181451128,1798.2800000000002,311.73120982271945
transcript_4262,5731,1118,8374,841,0.8111375493876072,1799.4200000000014,279.223305287259
transcript_4289,6634,1325,9676,918,0.8169542939093196,1798.6600000000008,322.7736203618248
transcript_2820,6357,1011,9204,780,0.7900478297390832,1797.33,307.2557627146935
transcript_5197,6248,1156,9524,874,0.8069459473773787,1799.09,317.6272448849141
transcript_3280,5805,1139,8520,837,0.8120840421764214,1798.510000000001,284.2352836514669
transcript_706,5356,1023,7855,830,0.8071880732224803,1798.98,261.98178968081913
transcript_1497,5154,1054,7820,799,0.814311156457488,1799.4500000000005,260.74633915918747
transcript_712,5961,1069,8855,825,0.8023103762791235,1798.559999999999,295.40298905791315
transcript_1483,5679,1154,8974,850,0.8156590454632049,1799.51,299.21478624736733
transcript_3294,6028,1333,8521,981,0.8266367565743514,1799.7099999999998,284.0791016330409
transcript_2834,5447,1495,8419,1027,0.8497075668361979,1799.2200000000007,280.7549938306598
transcript_5183,6082,1159,8696,892,0.8097372757276912,1799.7099999999996,289.91337493262813
transcript_2808,5816,1262,8679,942,0.8237367203693258,1799.590000000002,289.3659111242002
transcript_2809,6049,1270,9412,985,0.8207465409510979,1799.0599999999995,313.8972574566719
transcript_3295,5831,1141,8864,867,0.8118678334633567,1799.88,295.4863657577172
transcript_1482,5799,1240,9024,892,0.82198549957253,1799.47,300.8885949751871
transcript_713,6159,1059,9067,819,0.7982287412348241,1799.41,302.3324311857776
transcript_5182,6531,1176,10057,831,0.8048292720430302,1799.6299999999987,335.3022565749629
transcript_2835,5393,1376,8545,965,0.8410399403028438,1799.9999999999998,284.83333333333337
transcript_5196,6608,1088,9817,855,0.7949144565640937,1799.679999999999,327.2915184921766
transcript_2821,6001,1221,9196,899,0.8169753749030736,1799.920000000001,306.5469576425617
transcript_4288,6405,1258,9185,953,0.8143084355880532,1799.93,306.178573611196
transcript_1496,4887,956,7483,717,0.8079218448496477,1797.5899999999997,249.7677445913696
transcript_707,5551,1021,8187,811,0.8036130926663118,1798.8699999999994,273.07142817435397
transcript_3281,5628,1081,8602,830,0.8089438016115993,1797.2999999999993,287.1640794525122
transcript_2174,6387,1149,9638,857,0.8042263445182445,1797.9200000000003,321.63833763459996
transcript_4505,5440,1113,8270,854,0.8155305872321709,1799.37,275.76318378099
transcript_934,5823,952,8702,783,0.7911077879380672,1799.61,290.129528064414
transcript_4263,5984,980,8604,788,0.7919599523826358,1799.4300000000003,286.8908487687767
transcript_2612,6319,1015,9657,777,0.7910403071113119,1798.4299999999996,322.1810134395001
transcript_3518,7119,1280,10290,930,0.8065607545141393,1798.4000000000003,343.30516014234865
transcript_4277,7073,933,10280,706,0.771477250004965,1798.79,342.8971697641192
transcript_5169,6242,1654,9296,1171,0.8480265993289475,1799.3100000000006,309.98549443953505
transcript_2606,5471,911,8221,695,0.7917243331354457,1798.2599999999998,274.298488538921
transcript_920,5331,824,8233,645,0.7824193459057671,1795.4199999999998,275.1333949716501
transcript_1469,6827,1156,10297,811,0.7988456382874851,1799.1000000000006,343.40503585125884
transcript_2160,5880,1124,8892,832,0.8093555108235453,1797.9999999999995,296.72969966629597
transcript_4511,6507,1141,9689,850,0.801725764974615,1799.4000000000008,323.074358119373
transcript_908,6317,1076,9350,832,0.7977380856249124,1797.8000000000002,312.0480587384581
transcript_1441,5479,1072,8555,863,0.8104939501330105,1799.7000000000007,285.2142023670611
transcript_2148,5784,1178,8384,881,0.8163101912975866,1799.1500000000017,279.59869938582085
transcript_4539,5073,1307,7585,979,0.8410398995421651,1799.3000000000009,252.93169565942299
transcript_3256,6774,1173,10110,886,0.8012064852628135,1798.9499999999998,337.19669807387646
transcript_3530,6664,1385,9549,992,0.8215657682688975,1797.9600000000005,318.6611493025428
transcript_5141,5854,1812,9152,1182,0.8648172749957888,1799.98,305.07005633395926
transcript_1327,5916,1036,8736,809,0.7994001166609861,1799.3899999999994,291.2987178988436
transcript_1333,5815,831,8674,711,0.7755511924835634,1799.31,289.2442102806076
transcript_3524,7312,1165,10683,872,0.7935551791854559,1799.4600000000012,356.20686205861733
transcript_5155,5850,953,9015,721,0.7908069128386145,1796.2600000000004,301.12567223007795
transcript_3242,5981,969,8764,749,0.7907076074144271,1798.47,292.38185791255904
transcript_1455,6933,1264,10255,955,0.807552905221239,1799.44,341.9397145778687
transcript_3915,6272,1178,9166,835,0.808748195551226,1798.9399999999998,305.713364536894
transcript_1864,5573,814,8143,679,0.7769768340889741,1796.670000000001,271.9364157023826
transcript_1870,6880,1249,10342,924,0.8069032123199504,1799.3999999999996,344.84828276092037
transcript_539,7015,1166,10362,868,0.7973677802857857,1799.4900000000002,345.4978910691362
transcript_4908,5758,1212,8818,862,0.8200212373447945,1799.500000000001,294.01500416782426
transcript_3901,5492,1013,8496,765,0.8036967964410561,1798.06,283.50555598812053
transcript_3929,5479,1090,8487,835,0.8124282347957172,1799.119999999999,283.0383743163326
transcript_277,6517,991,9821,715,0.7855364887000406,1799.9600000000005,327.37394164314753
transcript_1858,6016,1053,8743,805,0.7997306673793669,1798.89,291.61316144956055
transcript_511,4645,1200,7197,906,0.8397036374197321,1798.3100000000004,240.12545111799406
transcript_1680,6274,1032,9843,759,0.793586404555344,1798.0899999999997,328.44852037439733
transcript_4920,6033,1180,8684,882,0.8125525535604239,1798.8699999999997,289.6485015593123
transcript_2389,6429,1112,9717,817,0.7998923482344753,1799.0899999999997,324.0638322707592
transcript_3097,6090,1075,9001,810,0.8009815074704,1779.8200000000002,303.43517883830947
transcript_4934,6169,1186,8965,851,0.8110581788562768,1797.7800000000016,299.20234956446257
transcript_3083,6450,1134,9840,853,0.8018283695152264,1799.04,328.1750266808965
transcript_505,6813,1185,10001,905,0.8018385121477768,1798.9800000000002,333.55568155287995
